Order_ID,User_ID,Gender,Age,Location,Product_ID,Category,Price,Quantity,Discount,Payment_Method,Order_Date,Delivery_Time_Days,Is_Returned,Total_Amount
2247e4e4-99d3-4169-ab2e-f2a0d1efcfc6,32298bc7-2e98-499a-aff9-136996e059d8,Male,44,Hyderabad,5634a5f8-9849-4f59-a664-1d463fb2b495,Beauty,598.1,3,0.36,UPI,2025-06-28,4,0,1148.352
71bcac14-24f4-4f79-8f27-b535af804267,0279d1d2-2de4-4644-87d8-f847b59222ce,,49,Bangalore,37a470ef-e80d-4178-bf9c-f1432c56d47e,Sports,1293.0,4,0.35,UPI,2025-06-17,14,,3361.8
c1144376-ff5f-46c7-a9a0-517aed303fc6,dbd177b6-4402-45dd-97a8-74b04c798aab,Female,,Mumbai,0d2502f3-4111-49c2-90d5-aaec6b654662,Beauty,1653.14,,0.35,UPI,2024-12-15,6,0,
bf84fdc3-725d-4e86-9944-f40c3c5e5d20,60ee0aa3-a5d8-4de2-a976-f28664fa4b38,Female,40,Kolkata,15812f7c-b609-4d56-9e55-84315bc7af1d,Electronics,386.54,1,0.44,PayPal,2025-01-27,,0,216.46240000000003
cee4b6c7-d9b9-4774-bd24-b9b6b5430cc6,e68907d3-d722-4268-b385-c7cc756ff6b8,Male,,Hyderabad,ea7dd29b-62d0-4de5-9ed2-a025743c800e,Clothing,1856.15,1,0.15,PayPal,2025-04-23,7,0,1577.7275
24f6865f-10e2-47d0-93a4-238d25f62adf,28c0b52d-fa5b-4f84-8940-37881926f0a3,Male,23,Ahmedabad,7f173325-3d03-4588-a312-2165f08b6de8,Clothing,935.72,1,0.15,Cash on Delivery,2023-07-17,5,0,795.362
30ecf352-5ed1-49b6-8f3e-98e99e216734,f3ad6f86-a203-4658-aeb1-5b69b9c18e21,Male,69,Delhi,e6280dd8-56d8-49a8-856a-accc01ecc80e,Home,512.49,3,0.37,Debit Card,2023-07-26,4,0,968.6061
4aaf1b09-f2c3-4c2c-b40d-08efbf9d3897,5044031d-b69a-471b-8a9b-18af5a472483,Female,,Kolkata,aef29958-da47-462f-9d0f-1bfd16aa0c1a,Beauty,1378.88,2,0.11,Credit Card,2025-01-24,11,1,2454.4064000000003
7524a6c7-a102-4c3f-9ca4-9e86dc4fc269,bb1da44c-2087-4ce9-8205-0eb05ae07c66,Female,30,Pune,16bc233f-f92f-4549-a865-8ee59a3c3b72,Beauty,776.77,3,0.46,UPI,2024-07-27,2,0,1258.3674
5520ac8b-c91f-46c3-9932-4a48ed7e0e6e,1eb9c258-f8cc-4b53-a1ba-35aa920eb5de,Female,46,Pune,6b5a3a5f-6a46-43be-82ba-505a9460689f,Clothing,959.13,3,0.27,PayPal,2024-02-12,,0,2100.4946999999997
